id,condition,Joint7_Distance,Joint6_Distance,Joint4_Distance,Joint3_Distance,Joint2_Distance,Joint1_Distance
P10,A,0.077458573,1.118620585,1.580081433,0.000184962,1.189305291,8.18E-05
P10,B,0.070993483,0.925015315,1.02573914,6.94E-05,0.933384243,1.33E-05
P10,C,0.074818848,0.915725415,1.15793925,6.66E-05,0.721727242,1.32E-05
P10,D,0.384344746,1.109009249,1.702614813,0.000169332,1.53196777,3.33E-05
P10,E,1.691239989,1.404226648,2.814196146,0.000331856,3.288312671,0.00016393
P10,F,0.313071097,1.168420845,1.849597607,0.000162081,2.120821979,6.49E-05
P10,G,0.234911049,0.973750113,1.313918995,0.00019692,1.047583444,2.54E-05
P10,H,0.071643294,1.182640565,1.13319236,0.000100838,0.232903426,4.07E-05
P11,A,0.129539884,1.298875204,1.59205607,0.010068638,0.054400318,2.67E-05
P11,B,0.057592464,1.136705985,1.13808886,0.010509067,0.183616639,1.43E-05
P11,C,0.072029901,1.046485941,1.09769242,0.009539689,0.000144742,2.26E-05
P11,D,0.451040143,1.438435842,1.78754489,1.013486139,0.454591126,9.66E-05
P11,E,0.086181158,1.320316212,1.483802307,0.000155063,0.083775927,9.30E-07
P11,F,0.060169133,0.2085131,0.4925074,0.060513515,0.776957995,1.54E-05
P11,G,0.029076936,1.15294785,1.22097892,0.009910688,0.052031141,2.38E-05
P11,H,0.300906487,1.256731666,1.37088507,0.324885188,0.630760509,6.28E-05
P12,A,0.762012906,1.463242225,1.45766551,0.768305445,0.369541301,0.00020256
P12,B,0.912169959,1.1173028,1.19422666,0.319449565,0.514715316,7.00E-05
P12,C,1.27634434,0.125002927,0.16443101,0.177495612,0.002584808,3.83E-05
P12,D,4.02609326,1.414884928,1.05759793,0.954060069,0.388008288,0.00013718
P12,E,3.398089146,2.216045629,1.48779967,2.748397189,0.84548448,2.1982163
P12,F,2.520267785,1.094873539,1.03066971,0.097293312,0.820329196,4.13E-05
P12,G,1.83180953,1.455259688,1.05602408,0.287274419,0.171760994,8.02E-05
P12,H,2.184004116,1.23563553,1.09184649,1.013977755,0.047254072,4.52E-05
P13,A,0.123378396,1.43454451,1.470377842,0.158833559,1.279272727,0.00017026
P13,B,0.077884639,0.947463918,1.04622231,0.012477334,1.31147824,4.18E-05
P13,C,0.064726535,1.040904242,1.04635679,0.0101257,0.296756238,0.00014303
P13,D,0.22151249,1.089355596,1.03910927,1.954774548,0.642386469,0.61200289
P13,E,0.186036185,1.070566134,1.12678454,0.026827267,0.564120354,0.00014091
P13,F,0.0936932,1.215140534,1.24418969,0.051173363,1.813835087,0.00013086
P13,G,0.056086171,1.069399824,1.23653872,0.063605282,0.470909682,7.22E-05
P13,H,0.073130415,1.085397374,1.08420724,0.036600547,0.304610092,5.42E-05
P14,A,0.225931652,1.892581452,1.96837648,0.324567521,2.88034966,0.36217833
P14,B,0.043438821,0.794351848,0.8565019,0.002524765,0.010758371,9.30E-07
P14,C,0.08637058,1.020542428,1.02473319,0.011514618,0.060869211,1.05E-05
P14,D,0.569682023,1.102304653,1.09111468,0.00017976,0.149615544,2.00E-05
P14,E,0.78639936,1.399844095,1.41402002,0.605798675,1.425082815,0.00198013
P14,F,0.138639905,1.392694024,1.14994895,6.87E-05,0.000234959,1.34E-05
P14,G,0.596471302,1.274444528,1.25877425,0.146104178,0.215366115,5.66E-06
P14,H,0.168628697,1.500421982,1.364065277,0.000119877,0.252358746,0.00013794
P15,A,0.125990483,1.44252385,2.02128332,0.14115371,0.5783037,0.05143508
P15,B,0.0571129,1.100177342,1.14870448,0.150336788,0.283567065,0.00015213
P15,C,0.077724867,0.996097471,1.25856787,0.019942218,0.897711234,1.63E-05
P15,D,0.14073956,0.958135672,1.31769698,0.247979831,1.406681159,0.10142815
P15,E,0.655426852,1.27274895,1.69758863,2.791004043,0.985369131,0.3293486
P15,F,0.036970514,0.927296975,1.15708145,0.137643426,0.696899983,3.52E-05
P15,G,0.036894208,1.048628412,1.05689836,0.104144232,0.247745753,0.0001663
P15,H,1.081771175,3.789919968,6.62480311,0.189569605,1.035133158,0.08694754
P16,A,0.029411418,1.245597226,1.75648709,0.032115133,0.020720603,7.75E-06
P16,B,0.092387586,0.968552623,1.03164787,0.00018118,0.462411787,3.90E-05
P16,C,0.170660157,1.233500417,1.47016214,0.051261127,0.911449069,5.23E-05
P16,D,0.342235178,1.742503464,1.9803077,0.325131008,0.388598903,1.26E-05
P16,E,2.630812206,2.321798043,3.64321475,0.157250535,1.069818617,2.45E-05
P16,F,0.077350146,1.963820674,2.54895409,0.157950076,1.335395435,2.95E-05
P16,G,0.056864443,1.195808268,1.395592014,6.33E-05,0.234709182,0
P16,H,0.128541987,1.510784384,1.52792929,0.025089025,0.076249939,2.01E-05
P17,A,0.067959561,1.517925179,2.20344809,0.075628819,0.74359683,1.87E-06
P17,B,0.283416985,0.683668269,1.15739678,0.024076609,7.24E-05,9.50E-07
P17,C,0.072267553,1.249213434,1.67659813,0.009928796,0.785534183,1.30E-05
P17,D,0.065155317,0.805959638,0.4099361,0.027610722,0.151401309,4.00E-08
P17,E,0.899102394,1.447175572,2.085643152,0.023590477,0.727885109,5.10E-06
P17,F,0.066834516,1.527834857,1.831316861,0.000257301,0.818234368,2.19E-05
P17,G,0.088463822,1.23007572,1.64066517,0.011784777,0.857330228,7.00E-08
P17,H,1.055787684,1.492721177,2.0375502,0.103898789,0.224864091,1.13E-06
P18,A,0.090771183,1.234595978,1.568606145,0.000277433,0.281827355,2.12E-06
P18,B,0.060957755,0.884203902,1.03609857,0.008737157,0.680475745,4.74E-06
P18,C,0.076127211,0.90768254,1.09598027,0.009920848,1.034977907,2.70E-07
P18,D,1.699318672,1.294911923,1.85137393,0.235482042,2.135727752,9.13E-05
P18,E,1.327652144,1.785677064,2.36899926,1.138816158,4.085558181,0.00014397
P18,F,0.042113556,1.034175786,1.60733195,0.157030619,1.75940413,3.35E-06
P18,G,0.082840873,1.168952152,0.91078087,0.008512182,0.346931791,1.87E-06
P18,H,0.093204986,0.970694968,1.48037668,0.307258995,1.698310089,4.12E-05
P19,A,0.076178658,0.620734582,1.173248431,6.13E-05,1.53E-05,0
P19,B,0.068555093,0.729846353,0.83780144,3.46E-05,9.33E-05,0
P19,C,0.069717316,1.053244959,1.29415675,0.013643908,0.841509999,4.21E-05
P19,D,0.223445453,1.838876416,1.7379989,0.72350644,2.213028266,0.12724635
P19,E,3.394347319,2.261732786,5.04732437,0.119569543,0.007455038,2.11E-06
P19,F,0.065586706,1.212726642,1.47021573,0.01388924,1.695515564,9.32E-05
P19,G,0.057856959,0.897123034,1.14266868,0.000175769,0.977694152,6.51E-06
P19,H,0.049218406,1.088674191,1.17554195,0.030164011,1.223278645,0.07366649
P20,A,0.141822146,1.37728091,1.99444081,0.067344841,0.185768266,7.62E-05
P20,B,0.073188476,1.026762399,1.49578521,0.009951708,1.55040177,0.00060905
P20,C,0.060195957,1.158130791,1.56692089,0.1777338,0.865167159,9.65E-05
P20,D,0.11103955,1.33093729,1.74414678,0.055807801,1.967603406,0.00010019
P20,E,1.728903587,1.222411218,1.23012821,1.547328645,1.08669488,0.0001032
P20,F,0.194671179,1.110037747,1.02055744,0.100921674,1.449643849,6.09E-05
P20,G,0.045584792,1.063052703,1.21400598,0.010077225,0.208127573,2.93E-05
P20,H,0.078502516,0.993336011,1.20727402,0.03031767,1.032478991,3.98E-05
P21,D,0.54596669,1.089934551,1.20714536,0.680610629,0.085705974,2.38E-05
P21,E,0.32729987,0.65981291,0.83285039,0.01626126,0.00023959,6.50E-06
P21,F,0.076996781,1.044249036,1.06085928,9.62E-05,0.018212693,9.30E-07
P21,H,0.071154871,1.077184248,1.12020785,0.000166688,0.000116979,2.79E-06
P22,A,0.0618609,1.168978779,1.37582575,0.056620771,0.324926034,4.59E-05
P22,B,0.041877202,1.060955177,0.99453539,0.00720329,0.225843861,8.60E-06
P22,C,0.107796353,2.046843363,2.23056759,0.010421521,0.128808576,1.70E-05
P22,D,1.355827597,1.103766121,1.25311663,1.230946597,0.97892878,0.36701538
P22,E,0.483404205,1.598315108,1.48667026,0.016322505,0.288471292,1.88E-05
P22,F,0.124446357,1.492594348,1.51658127,0.052392158,0.222813845,4.12E-05
P22,G,0.145404441,1.906748558,2.68873222,0.024907527,1.516040025,4.13E-05
P22,H,0.081112469,2.239175242,3.32786748,0.190722762,1.828855159,5.34E-05
P23,A,0.028307397,1.290578913,1.496180664,0.002711098,0.529876441,4.79E-06
P23,B,0.04702835,0.917331923,1.10759727,3.68E-05,0.361870121,6.52E-06
P23,C,0.052155232,1.173407728,1.09632034,0.000125701,0.134551629,1.03E-05
P23,D,0.401995039,1.217640125,1.3000921,1.773191782,0.77169668,3.04E-05
P23,E,2.385680323,1.232598026,1.19922835,0.191476824,0.637833688,1.58E-05
P23,F,0.031475642,1.20938952,1.13188925,0.019124108,1.336520037,3.93E-06
P23,G,0.488415342,1.162383102,1.11400349,0.000235255,0.857705036,9.45E-06
P23,H,0.000103777,1.14393251,1.04595705,4.58E-05,0.099274468,1.33E-05
P24,A,0.20272226,1.081498602,1.62734535,0.195445822,2.466843417,0.13383812
P24,B,0.058305114,0.877632746,1.26531416,0.013480016,1.3650441,9.53E-05
P24,C,0.051554529,1.325686694,1.441111035,0.046998407,0.36301828,5.25E-05
P24,D,1.565181846,1.216154543,1.775799,2.650714415,0.198783978,0.11983708
P24,E,3.986467871,3.486064483,4.1880938,2.66508075,4.450088175,0.40817336
P24,F,0.085836213,1.219447347,1.4005378,0.276654295,1.745065999,0.00010749
P24,G,0.089051933,1.02834263,1.14319946,0.032842886,1.108423633,6.09E-05
P24,H,0.594843695,2.294240047,1.67590331,0.52999891,2.183302876,0.0172323
P25,A,0.049085075,1.226806728,1.63973039,0.0111198,0.297115696,1.51E-05
P25,B,0.060773324,1.001908565,1.20361857,0.030304807,1.031434173,0.00515821
P25,C,0.079922533,1.119635915,1.1161135,0.013457918,0.030573212,5.63E-06
P25,D,0.339226912,1.024674173,1.05638812,0.306551679,0.788250198,6.11E-05
P25,E,0.608209106,0.970253168,1.23634591,0.948960981,1.189353717,0.00021406
P25,F,0.074076894,1.097175626,1.11362825,0.01630727,0.475816466,3.25E-05
P25,G,0.034260961,0.994949921,1.27982519,0.009898336,1.226261109,1.66E-05
P25,H,0.150738874,1.045036127,1.35676151,0.09319945,1.090792501,4.95E-05
P26,A,0.033746012,1.276156969,1.690300096,0.000262661,1.86616486,5.70E-05
P26,B,0.018436128,0.9605064,1.18880874,5.81E-05,0.0104579,1.13E-05
P26,C,0.078381624,1.086205364,1.552714795,0.000163642,1.196983786,2.69E-05
P26,D,1.472601007,1.182474463,1.67627411,6.925570088,5.851326702,0.00069538
P26,E,2.213132282,0.961751491,1.52846001,5.697505446,0.59735627,0.00018714
P26,F,0.000224085,1.116644061,1.19361309,2.99E-05,0.003965378,0
P26,G,0.029525058,0.986342296,1.21112018,0.005171299,1.15254042,9.32E-06
P26,H,0.438920336,1.276956713,1.76756479,0.17555368,0.54520773,0.00010267
P27,A,0.096439109,1.483750054,2.094999712,0.222817403,1.239690434,0.00012342
P27,B,0.023082104,1.002394791,1.00512042,0.011244517,0.150008639,5.53E-06
P27,C,0.020598096,0.946522555,1.1287438,0.003486086,0.84086685,6.10E-05
P27,D,0.207384635,1.943541936,1.87588331,0.426177162,2.190206613,0.00014117
P27,E,2.219773632,1.265265832,2.41704979,3.143787165,1.163670019,0.09749059
P27,F,0.228825037,1.733355245,1.19253829,1.686051692,1.243896229,0.00013174
P27,G,0.020037337,0.929836233,1.06478562,0.014906417,0.823976428,1.43E-05
P27,H,1.683585565,1.411816705,1.71731837,1.54494718,1.01758813,0.14578156
P28,A,0.032274153,1.112424661,1.55070732,0.092057674,1.535884016,0.00078666
P28,B,0.059682731,1.084974476,1.46694664,0.080844659,0.788036942,1.47E-05
P28,C,0.026337313,0.938041574,1.04696559,0.00564772,0.623470635,1.42E-05
P28,D,1.320781441,1.674965388,2.05826184,1.646842695,0.312815055,9.96E-05
P28,E,2.310852855,2.018985941,4.22091991,1.168283621,4.962693056,4.03E-05
P28,F,0.082038122,1.278896883,1.95320739,0.266110183,2.837094695,0.00010927
P28,G,0.064232758,1.026473066,1.33198855,0.069068012,0.929108127,6.94E-06
P28,H,0.07434794,1.082575742,1.551934758,0.025975373,1.458849087,4.58E-05
P29,A,0.42771325,1.383844237,1.79623855,0.005437206,1.816714544,3.34E-05
P29,B,0.274763074,1.260211554,1.37092152,0.024773565,0.408854932,1.80E-05
P29,C,0.036212622,1.149039737,1.0464665,0.000132988,0.727871751,1.98E-05
P29,D,0.638409195,1.188649952,1.08609969,1.205222128,1.338386592,6.18E-05
P29,E,0.111983179,1.529583377,1.468734363,0.020339348,1.623486467,1.60E-05
P29,F,0.046865139,1.100216258,1.663904749,0.000324906,1.899142656,5.91E-05
P29,G,0.048873125,1.17296002,1.04434351,0.000155968,0.963937747,3.72E-06
P29,H,0.040978097,1.239535053,1.25448946,0.000154058,0.193943715,1.81E-05
P2,A,0.070359118,0.720580317,1.2120632,5.75E-05,0.252418601,5.03E-05
P2,B,0.012616459,0.566859797,0.94513188,0.000123571,0.388646483,9.32E-06
P2,C,0.030686525,0.702617814,1.28701894,0.006182262,0.52969661,3.99E-06
P2,D,0.590499842,0.693590936,1.18792565,1.168105468,0.648078152,0.21560611
P2,E,0.397999854,0.701714025,1.18851979,0.55277321,0.468942621,1.40243806
P2,F,0.017786445,0.992341206,1.17078872,0.004834703,1.003336688,6.76E-05
P2,G,0.1446359,0.742623494,1.19675083,0.452476528,0.337457527,0.04372795
P2,H,0.614155073,0.828338165,1.40830005,0.340928611,0.427765064,0.00017996
P30,A,0.060145705,1.33770042,1.76539883,0.014691024,0.459842041,4.10E-05
P30,B,0.019910922,1.123047347,1.089663,0.000147452,0.260925196,3.90E-05
P30,C,0.000171122,1.164595789,1.21810536,0.000150306,0.102508799,2.58E-05
P30,D,0.146849625,1.199385006,1.53057272,0.856636973,0.337809376,0.0001275
P30,E,1.180158531,1.151249711,1.61964749,2.09160809,0.677756727,0.00032657
P30,F,0.017229261,1.144794839,1.1439241,0.000176163,1.123382738,2.92E-05
P30,G,0.032402723,0.705658858,1.473144074,7.13E-05,0.811025494,1.52E-05
P30,H,0.388578187,1.275597795,1.550413013,0.000211988,0.200527772,1.61E-05
P31,A,0.045324858,1.353630712,1.747995342,0.000132442,0.08902348,0
P31,B,0.088487036,1.119161303,1.2943435,0.005855301,0.030352689,2.19E-06
P31,C,0.00929308,1.113681765,1.20168966,6.18E-05,5.03E-05,0
P31,D,0.751548674,1.143065033,1.26112576,0.200095664,2.022493893,8.09E-06
P31,E,3.962828382,2.426180602,2.60651038,0.031822893,1.632311604,3.65E-05
P31,F,0.000813684,1.275123778,1.24779681,0.000236293,0.216438683,7.44E-06
P31,G,2.348310829,1.248739704,1.52479952,0.042245602,0.000213024,6.30E-07
P31,H,3.009493915,1.664715152,1.789426176,0.000417118,0.325895218,8.00E-06
P3,A,0.035574628,0.634481851,1.15961117,4.74E-05,0.122025774,3.89E-05
P3,B,0.01963201,0.989179885,1.25183193,7.30E-05,0.000186288,6.38E-05
P3,C,0.004448276,1.162583154,1.344817255,4.31E-05,0.203882026,5.84E-06
P3,D,3.13122688,1.664750646,1.72959047,0.290647818,0.155080049,0.0001458
P3,E,4.682005953,3.557528323,2.48753603,0.552625871,0.83414028,0.00016275
P3,F,1.670357556,0.861952593,0.77478307,0.287081294,0.023482658,3.17E-05
P3,G,1.495711134,1.825485949,1.23789219,0.051816697,0.236167414,7.22E-05
P3,H,2.716159899,1.181641806,1.34952919,0.46478139,0.083059596,2.37E-05
P4,B,0.058723114,1.715690388,1.67543729,9.42E-05,0.000401806,2.17E-05
P4,C,0.076613286,0.861797917,0.9795551,2.95E-05,0.000125434,6.51E-06
P4,D,0.016149594,0.688780539,1.02247516,2.00E-05,0.000105395,9.30E-07
P4,E,1.059999543,1.105056405,0.9792164,0.000209492,0.000139282,1.24E-05
P4,F,0.136112185,1.12300771,0.93311388,0.00026142,0.766918225,6.36E-05
P4,G,0.325341994,1.852980599,3.42433807,0.000228106,2.571587811,0.00216516
P4,H,0.197781789,1.091571675,1.91192539,0.000234612,0.104916563,8.56E-05
P5,A,0.102104976,1.211036387,1.657899543,4.85E-05,0.136393261,7.45E-06
P5,C,0.088067541,1.04847894,1.00768209,3.52E-05,0.027233222,2.79E-06
P5,D,0.082024296,1.087108873,1.26479727,7.04E-05,0.040223917,5.57E-05
P5,E,0.812353876,1.335850113,1.336153981,9.99E-05,0.179978356,1.81E-05
P5,F,1.046906735,1.189213305,1.1953098,8.28E-05,0.000137087,1.88E-06
P5,G,0.141309459,1.018647403,1.02634366,4.47E-05,0.000134557,2.79E-06
P6,C,0.037650421,1.116673173,1.27683128,9.42E-05,0.00120808,1.40E-05
P6,D,0.978852066,1.216402791,1.4446629,1.108080811,0.28112341,0.10703503
P6,G,0.018911107,1.277985296,1.708880687,0.000126766,1.119043052,4.21E-05
P7,A,0.085175354,1.234100353,1.43304699,0.013445759,0.837403231,7.50E-05
P7,B,0.04957794,1.095426104,1.09884636,0.000124103,0.136904391,1.99E-05
P7,C,0.098530048,0.952888457,1.16382777,0.036805998,0.964081288,1.76E-05
P7,D,0.595685003,1.99994565,2.43903452,1.365813763,0.836643093,5.68E-05
P7,E,0.971654069,1.150190972,1.42669213,1.048884202,1.151336067,0.03594485
P7,F,0.055620235,1.116518934,1.19058188,0.251331226,0.991239752,2.49E-05
P7,G,0.048645288,1.192356099,1.34140068,0.047567234,0.552333949,3.14E-05
P7,H,0.03425253,1.354451097,1.65825133,0.006267213,0.74713286,2.77E-05
P8,A,0.39403703,1.960972305,2.36667111,0.000204531,0.111543574,7.58E-06
P8,B,0.531605092,1.171966117,1.21095319,0.031310899,0.133331368,1.18E-05
P8,C,0.075809003,0.393763156,0.7294558,0.00577249,0.047622371,1.09E-05
P8,D,0.887414591,2.317829562,2.19011554,0.059385287,0.747090888,4.73E-05
P8,E,1.434460485,1.287737501,1.48209384,0.940214668,2.472535296,1.58969378
P8,F,0.622781705,1.186676179,1.44135709,0.684441471,1.616454428,0.00012116
P8,G,1.18378999,1.094729895,0.98445006,0.000235924,0.000236954,0.00012436
P8,H,0.503688464,1.281712259,1.46620653,0.082825318,0.114680815,4.24E-05
P9,A,0.116412655,1.069446873,1.62785189,0.082789294,1.798345044,8.04E-05
P9,B,0.046371303,0.987243379,1.17094719,0.01015874,0.476844877,1.34E-05
P9,C,0.046172274,0.97310625,1.27864302,0.13983532,1.067236769,1.14E-05
P9,D,0.095371508,1.589753032,1.89965948,0.009442838,2.218394945,0.00012877
P9,E,0.052267682,1.018791503,1.1017636,0.156976884,0.641561699,5.40E-05
P9,F,0.022895718,1.204749229,1.260178,0.042099074,1.074916747,0.00011911
P9,G,0.045208222,0.955478322,1.24983294,0.010158068,1.03596634,1.15E-05
P9,H,0.083542334,1.065421895,1.642341613,0.000163625,1.632560093,9.13E-05
